Link Id, Link Type, Distance, Source Id, Row Type, Source Rows, Column Type, Source Columns, Destination Id, Row Type, Destination Rows, Column Type, Destination Columns
10,date,0.09,16208,place,"USA,Newark,Detroit,Michigan,",date,"1 November, 2003,1994,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15981,place,"USA,New York,Virginia,New Jersey,Columbia,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1991,"
11,date,0.06,16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,",16007,place,"USA,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2002,"
11,date,0.03,16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,",16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,"
11,date,0.03,16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,",16006,place,"USA,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,2002,"
12,date,0.07,16207,place,"USA,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,1999,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",16006,place,"USA,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,2002,"
12,date,0.05,16207,place,"USA,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,1999,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,"
12,date,0.06,16207,place,"USA,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,1999,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15969,place,"USA,Virginia,London,UK,Detroit,Michigan,Afghanistan,Russia,Laurel,",date,"1999,2002,"
12,date,0.07,16207,place,"USA,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,1999,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",16001,place,"USA,New Jersey,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,"
12,date,0.05,16207,place,"USA,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,1999,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15970,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Afghanistan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,"
12,date,0.05,16207,place,"USA,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,1999,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,"
13,date,0.04,16001,place,"USA,New Jersey,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,",15981,place,"USA,New York,Virginia,New Jersey,Columbia,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1991,"
13,date,0.04,16001,place,"USA,New Jersey,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,",15977,place,"USA,Windsor,Ontario,Canada,Santo Domingo,Dominican Republic,New Jersey,Newark,Detroit,Michigan,Columbia,",date,"1 November, 2003,1992,"
14,date,0.06,16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,",15964,place,"USA,New York,Virginia,Florida,New Jersey,Afghanistan,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,"
14,date,0.06,16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,",15963,place,"USA,New York,Virginia,New Jersey,London,UK,Detroit,Michigan,Afghanistan,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,"
14,date,0.03,16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,",15981,place,"USA,New York,Virginia,New Jersey,Columbia,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1991,"
14,date,0.05,16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,",15969,place,"USA,Virginia,London,UK,Detroit,Michigan,Afghanistan,Russia,Laurel,",date,"1999,2002,"
15,date,0.08,16209,place,"USA,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15970,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Afghanistan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,"
15,date,0.06,16209,place,"USA,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15981,place,"USA,New York,Virginia,New Jersey,Columbia,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1991,"
15,date,0.08,16209,place,"USA,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15963,place,"USA,New York,Virginia,New Jersey,London,UK,Detroit,Michigan,Afghanistan,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,"
15,date,0.06,16209,place,"USA,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15964,place,"USA,New York,Virginia,Florida,New Jersey,Afghanistan,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,"
15,date,0.07,16209,place,"USA,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15969,place,"USA,Virginia,London,UK,Detroit,Michigan,Afghanistan,Russia,Laurel,",date,"1999,2002,"
16,date,0.04,16003,place,"USA,Florida,New Jersey,Afghanistan,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,",16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,"
16,date,0.00,16003,place,"USA,Florida,New Jersey,Afghanistan,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,",16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,"
16,date,0.01,16003,place,"USA,Florida,New Jersey,Afghanistan,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,",16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,"
16,date,0.05,16003,place,"USA,Florida,New Jersey,Afghanistan,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,",16011,place,"USA,New Jersey,Afghanistan,",date,"1 November, 2003,1994,1999,1993,2001,"
17,date,0.07,16204,place,"USA,New Jersey,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15420,date,"1999,1996,",document,"FBI_20,CIA_10,"
18,date,0.06,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",16018,place,"USA,New Jersey,Detroit,Michigan,Chicago,Illinois,",date,"1999,1992,1 July, 2003,"
18,date,0.06,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,"
18,date,0.06,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",15976,place,"USA,New Jersey,Detroit,Michigan,Russia,Chicago,Illinois,",date,"1999,1992,"
18,date,0.06,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",15977,place,"USA,Windsor,Ontario,Canada,Santo Domingo,Dominican Republic,New Jersey,Newark,Detroit,Michigan,Columbia,",date,"1 November, 2003,1992,"
18,date,0.09,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",16001,place,"USA,New Jersey,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,"
18,date,0.09,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",16017,place,"USA,811 Tecumseh Rd.,Windsor,Ontario,Canada,New Jersey,Newark,Detroit,Michigan,Chicago,Illinois,Columbus,Ohio,",date,"1992,1 July, 2003,"
18,date,0.06,16203,place,"USA,New Jersey,Detroit,Michigan,",date,"1 November, 2003,1994,1999,1992,1 July, 2003,21 January, 2002,June 20 to July 2, 2000,",16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,"
19,date,0.05,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15970,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Afghanistan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,"
19,date,0.07,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15971,place,"USA,Virginia,London,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1999,2002,"
19,date,0.06,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15972,place,"USA,Virginia,Egypt,Afghanistan,Laurel,Pakhtia,Khost,Jorm,Taloqan,Salang tunnel,",date,"2001,2002,"
19,date,0.06,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15966,place,"USA,Buenos Aires,Argentina,Columbia,231 12th St.,Missouri,",date,"1 November, 2003,26 December, 2003,"
19,date,0.08,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15977,place,"USA,Windsor,Ontario,Canada,Santo Domingo,Dominican Republic,New Jersey,Newark,Detroit,Michigan,Columbia,",date,"1 November, 2003,1992,"
19,date,0.06,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15968,place,"USA,New Jersey,Buenos Aires,Argentina,Columbia,224 Paulson Ave.,Clifton,",date,"1 November, 2003,2 January, 2004,"
19,date,0.07,16206,place,"USA,Newark,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,21 January, 2002,June 20 to July 2, 2000,2002,10 August, 2001,",15974,place,"USA,Windsor,Ontario,Canada,Detroit,Michigan,Afghanistan,Russia,",date,"1997,2002,"
20,date,0.02,16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,",16007,place,"USA,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2002,"
20,date,0.03,16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,",16003,place,"USA,Florida,New Jersey,Afghanistan,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,"
20,date,0.00,16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,",16004,place,"USA,New Jersey,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,2001,"
20,date,0.02,16000,place,"USA,Florida,Bahamas,New Jersey,Nassau,UK,Detroit,Michigan,Afghanistan,Saudi Arabia,Riyadh,Ann Arbor,2116 27th St.,Laurel,Maryland,",date,"1994,1999,",16002,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,"
21,date,0.06,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15965,place,"USA,New York,Virginia,New Jersey,Afghanistan,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,2001,"
21,date,0.06,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15963,place,"USA,New York,Virginia,New Jersey,London,UK,Detroit,Michigan,Afghanistan,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,"
21,date,0.04,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15964,place,"USA,New York,Virginia,Florida,New Jersey,Afghanistan,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,"
21,date,0.05,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15976,place,"USA,New Jersey,Detroit,Michigan,Russia,Chicago,Illinois,",date,"1999,1992,"
21,date,0.08,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15977,place,"USA,Windsor,Ontario,Canada,Santo Domingo,Dominican Republic,New Jersey,Newark,Detroit,Michigan,Columbia,",date,"1 November, 2003,1992,"
21,date,0.07,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15420,date,"1999,1996,",document,"FBI_20,CIA_10,"
21,date,0.06,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15969,place,"USA,Virginia,London,UK,Detroit,Michigan,Afghanistan,Russia,Laurel,",date,"1999,2002,"
21,date,0.05,16205,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,21 January, 2002,June 20 to July 2, 2000,1991,17 September, 2004,14 September, 2004,29 October, 2004,",15966,place,"USA,Buenos Aires,Argentina,Columbia,231 12th St.,Missouri,",date,"1 November, 2003,26 December, 2003,"
