BiCluster Id, Row Type, Array of Rows, Column Type, Array of Columns
15516,document,"NSA_05,NSA_22,",place,"Morocco,Casablanca,Moscow,Russia,"
15517,document,"CIA_20,NSA_08,NSA_05,CIA_15,DIA_02,NSA_20,CIA_37,NSA_18,NSA_14,",place,"Pakistan,Chitral,"
15518,document,"NSA_08,CIA_15,NSA_20,NSA_18,",place,"Peshawar,Pakistan,Chitral,"
15519,document,"NSA_20,NSA_18,",place,"Peshawar,Pakistan,Cuba,Havana,Chitral,"
15520,document,"NSA_08,NSA_05,",place,"Morocco,Casablanca,Pakistan,Chitral,"
15521,document,"NSA_05,NSA_14,",place,"Pakistan,Chitral,Moscow,"
15522,document,"CIA_26,FBI_22,NSA_01,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"London,UK,"
15523,document,"CIA_26,FBI_22,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"USA,London,UK,"
15524,document,"FBI_08,FBI_02,CIA_02,",place,"USA,Canada,London,UK,"
15525,document,"FBI_22,CIA_10,",place,"USA,London,UK,Afghanistan,"
15526,document,"NSA_01,FBI_06,",place,"London,UK,Texas,"
15527,document,"FBI_22,FBI_08,CIA_02,",place,"USA,London,UK,Detroit,Michigan,"
15528,document,"FBI_08,CIA_02,",place,"USA,Canada,London,UK,Detroit,Michigan,"
15529,document,"CIA_26,CIA_10,FBI_02,",place,"USA,Bahamas,Nassau,London,UK,"
15530,document,"CIA_10,FBI_06,",place,"USA,London,UK,Chicago,Illinois,"
15531,document,"NSA_10,FBI_24,NSA_03,NSA_01,FBI_16,FBI_07,CIA_07,FBI_01,",place,"Paris,France,"
15532,document,"NSA_10,FBI_07,CIA_07,FBI_01,",place,"USA,Canada,Paris,France,"
15533,document,"FBI_07,CIA_07,",place,"USA,Canada,Paris,France,Afghanistan,"
15534,document,"CIA_28,CIA_26,FBI_21,FBI_17,FBI_15,FBI_02,FBI_40,FBI_35,",place,"USA,Florida,"
15535,document,"CIA_26,FBI_21,FBI_02,FBI_40,",place,"USA,Florida,Bahamas,Nassau,"
15536,document,"CIA_26,FBI_21,FBI_02,",place,"USA,Florida,Bahamas,Nassau,UK,"
15537,document,"CIA_26,FBI_02,",place,"USA,Florida,Bahamas,Nassau,London,UK,"
15538,document,"NSA_10,NSA_04,CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Windsor,Ontario,Canada,"
15539,document,"NSA_10,CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,",place,"USA,Windsor,Ontario,Canada,"
15540,document,"CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Windsor,Ontario,Canada,Detroit,Michigan,"
15541,document,"CIA_16,FBI_08,DIA_03,FBI_36,FBI_34,",place,"USA,Windsor,Ontario,Canada,Detroit,Michigan,"
15542,document,"FBI_25,FBI_19,FBI_09,FBI_04,FBI_38,FBI_37,FBI_33,",place,"USA,Texas,Houston,"
15543,document,"FBI_09,FBI_04,",place,"USA,Texas,Houston,Chicago,Illinois,"
15544,document,"CIA_28,CIA_23,NSA_09,CIA_03,CIA_38,CIA_30,NSA_16,",place,"Santo Domingo,Dominican Republic,"
15545,document,"CIA_03,CIA_30,NSA_16,",place,"Santo Domingo,Dominican Republic,Cuba,Havana,"
15546,document,"CIA_03,NSA_16,",place,"Santo Domingo,Dominican Republic,Cuba,Havana,Columbia,"
15547,document,"CIA_28,NSA_09,",place,"Santo Domingo,Dominican Republic,Morocco,Casablanca,"
15548,document,"CIA_26,CIA_11,",place,"USA,Karachi,"
15549,document,"CIA_26,CIA_22,NSA_07,NSA_06,CIA_37,",place,"Pakistan,Karachi,"
15550,document,"CIA_26,NSA_06,",place,"Pakistan,Bahamas,Karachi,Nassau,"
15551,document,"CIA_22,CIA_11,",place,"Peshawar,Karachi,"
15552,document,"FBI_27,CIA_16,FBI_11,FBI_08,FBI_03,USCBP_02,",place,"USA,Newark,"
15553,document,"CIA_16,FBI_11,FBI_08,",place,"USA,Newark,Detroit,Michigan,"
15554,document,"FBI_27,CIA_16,FBI_11,FBI_03,USCBP_02,",place,"USA,New Jersey,Newark,"
15555,document,"CIA_16,FBI_11,",place,"USA,New Jersey,Newark,Detroit,Michigan,"
15556,document,"CIA_16,FBI_08,",place,"USA,Windsor,Ontario,Canada,Newark,Detroit,Michigan,"
15557,document,"NSA_10,FBI_07,FBI_01,FBI_41,FBI_35,",place,"USA,New York,"
15558,document,"NSA_10,NSA_04,CIA_16,FBI_34,FBI_31,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,"
15559,document,"NSA_10,CIA_16,FBI_34,",place,"USA,811 Tecumseh Rd.,Windsor,Ontario,Canada,"
15560,document,"CIA_16,FBI_34,FBI_31,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,Detroit,Michigan,"
15561,document,"CIA_16,FBI_34,",place,"USA,811 Tecumseh Rd.,Windsor,Ontario,Canada,Detroit,Michigan,"
15562,document,"NSA_06,CIA_10,CIA_42,FBI_41,CIA_32,",place,"Bahamas,Freeport,"
15563,document,"NSA_06,CIA_10,CIA_42,FBI_41,",place,"Bahamas,Nassau,Freeport,"
15564,document,"CIA_10,FBI_41,",place,"USA,Bahamas,Nassau,Freeport,"
15565,document,"FBI_28,CIA_25,NSA_07,CIA_14,CIA_09,",place,"Panama City,Panama,"
15566,document,"FBI_28,NSA_07,CIA_14,",place,"Pakistan,Panama City,Panama,"
15567,document,"CIA_25,CIA_14,",place,"Panama City,Panama,Cuba,Havana,"
15568,document,"NSA_02,CIA_07,FBI_02,CIA_02,FBI_01,",place,"USA,Canada,Montreal,"
15569,document,"NSA_02,CIA_07,",place,"USA,Canada,Montreal,Chicago,Illinois,"
15570,document,"FBI_02,CIA_02,",place,"USA,Canada,London,UK,Montreal,"
15571,document,"CIA_07,FBI_01,",place,"USA,Canada,Paris,France,Montreal,"
15572,document,"FBI_20,DIA_01,FBI_32,",place,"USA,Saudi Arabia,"
15573,document,"DIA_01,CIA_40,",place,"Afghanistan,Saudi Arabia,"
15574,document,"CIA_03,NSA_21,NSA_19,NSA_17,NSA_13,",place,"Columbia,Bogota,"
15575,document,"NSA_21,NSA_19,NSA_17,NSA_13,",place,"Mexico,Columbia,Bogota,"
15576,document,"CIA_14,NSA_22,CIA_31,",place,"Cuba,Middle East,"
15577,document,"CIA_14,NSA_22,",place,"Cuba,Havana,Middle East,"
15578,document,"CIA_01,NSA_22,CIA_31,",place,"Moscow,Russia,Middle East,"
15579,document,"NSA_22,CIA_31,",place,"Cuba,Moscow,Russia,Middle East,"
15580,document,"CIA_28,CIA_26,FBI_15,FBI_40,",place,"USA,Florida,Miami,"
15581,document,"CIA_26,FBI_40,",place,"USA,Florida,Miami,Bahamas,Nassau,"
15582,document,"NSA_19,NSA_17,NSA_15,NSA_13,",place,"Mexico,555 La Mirada St.,Tampico,"
15583,document,"NSA_19,NSA_17,NSA_13,",place,"Mexico,Columbia,Bogota,555 La Mirada St.,Tampico,"
15584,document,"CIA_28,FBI_08,FBI_35,FBI_30,",place,"USA,Virginia,"
15585,document,"CIA_28,FBI_35,",place,"USA,Virginia,Florida,"
15586,document,"NSA_03,FBI_19,NSA_13,NSA_12,",place,"Ojinaga,Mexico,"
15587,document,"FBI_19,NSA_13,NSA_12,",place,"Ojinaga,Mexico,Columbia,"
15588,document,"FBI_11,DIA_03,FBI_41,FBI_35,",place,"USA,Maryland,"
15589,document,"FBI_11,DIA_03,",place,"USA,Detroit,Michigan,Maryland,"
15590,document,"FBI_41,FBI_35,",place,"USA,New York,Maryland,"
15591,document,"NSA_06,CIA_10,FBI_02,CIA_43,",place,"Bahamas,Nassau,11 Apple St.,"
15592,document,"CIA_10,FBI_02,",place,"USA,Bahamas,Nassau,London,UK,11 Apple St.,"
15593,document,"NSA_06,CIA_10,",place,"Bahamas,Nassau,Freeport,11 Apple St.,"
15594,document,"FBI_28,CIA_14,",place,"Pakistan,Africa,Panama City,Panama,"
15595,document,"NSA_10,FBI_07,FBI_01,",place,"USA,Canada,New York,Paris,France,Buffalo,"
15596,document,"CIA_06,DIA_02,CIA_33,",place,"Afghanistan,Khost,"
15597,document,"FBI_11,FBI_08,FBI_35,",place,"USA,Laurel,"
15598,document,"FBI_11,FBI_08,",place,"USA,Newark,Detroit,Michigan,Laurel,"
15599,document,"FBI_08,FBI_35,",place,"USA,Virginia,Laurel,"
15600,document,"NSA_04,FBI_36,FBI_34,",place,"Windsor,Ontario,Canada,Morocco,Marrakech,"
15601,document,"FBI_36,FBI_34,",place,"USA,Windsor,Ontario,Canada,Morocco,Detroit,Michigan,Marrakech,"
15602,document,"NSA_04,FBI_34,",place,"811 Tecumseh Rd.,Windsor,Ontario,Canada,Morocco,Marrakech,"
15603,document,"CIA_13,FBI_03,DIA_03,",place,"USA,California,"
15604,document,"NSA_02,FBI_02,FBI_01,",place,"USA,Canada,Montreal,Quebec,"
15605,document,"NSA_02,FBI_06,FBI_04,",place,"USA,2211 Cermak Rd.,Chicago,Illinois,"
15606,document,"FBI_23,FBI_18,FBI_31,",place,"Detroit,Michigan,562 Fenkell Ave.,"
15607,document,"FBI_23,FBI_18,",place,"USA,Detroit,Michigan,562 Fenkell Ave.,"
15608,document,"CIA_04,CIA_03,",place,"Cuba,Havana,Columbia,Caribbean,"
15609,document,"FBI_22,FBI_08,FBI_02,",place,"USA,London,UK,Heathrow Airport,"
15610,document,"FBI_08,FBI_02,",place,"USA,Canada,London,UK,Heathrow Airport,"
15611,document,"FBI_22,FBI_08,",place,"USA,London,UK,Detroit,Michigan,Heathrow Airport,"
15612,document,"CIA_23,FBI_19,CIA_30,",place,"Buenos Aires,Argentina,"
15613,document,"FBI_19,CIA_30,",place,"Cuba,Buenos Aires,Argentina,"
15614,document,"CIA_23,CIA_30,",place,"Santo Domingo,Dominican Republic,Buenos Aires,Argentina,"
15615,document,"FBI_13,FBI_12,FBI_10,",place,"USA,Missouri,"
15616,document,"CIA_26,NSA_07,CIA_37,",place,"Pakistan,631 Nishtar Rd.,Karachi,"
15617,document,"FBI_17,FBI_02,FBI_35,",place,"USA,Florida,455 11th St.,Miami Beach,"
15618,document,"FBI_02,FBI_35,",place,"USA,Florida,New Jersey,455 11th St.,Miami Beach,"
15619,document,"FBI_19,CIA_04,NSA_12,",place,"Calamar,Columbia,"
15620,document,"FBI_19,CIA_04,",place,"Cuba,Calamar,Columbia,"
15621,document,"FBI_19,NSA_12,",place,"Ojinaga,Mexico,Calamar,Columbia,"
15622,document,"FBI_14,FBI_10,FBI_35,",place,"USA,New Jersey,224 Paulson Ave.,Clifton,"
15623,document,"FBI_19,FBI_37,NSA_13,",place,"Mexico,Columbia,Chetumal,"
15624,document,"FBI_19,NSA_13,",place,"Ojinaga,Mexico,Columbia,Chetumal,"
15625,document,"FBI_37,USCBP_01,NSA_17,",place,"Mexico,Piedras Negras,"
15626,document,"FBI_37,NSA_17,",place,"Mexico,Columbia,Piedras Negras,"
15627,document,"FBI_37,USCBP_01,",place,"USA,Texas,Mexico,Piedras Negras,"
15628,document,"FBI_19,FBI_38,FBI_37,",place,"USA,Cuba,Texas,Houston,Mexico,Columbia,Cartagena,Guane,"
15629,document,"FBI_19,FBI_37,",place,"USA,Cuba,Texas,Houston,Mexico,Columbia,Chetumal,Cartagena,Guane,"
15630,document,"CIA_24,FBI_16,",place,"Cairo,Egypt,"
15631,document,"FBI_20,CIA_18,CIA_40,",place,"Saudi Arabia,Riyadh,"
15632,document,"FBI_09,FBI_33,FBI_32,",place,"USA,Texas,Bellaire,"
15633,document,"NSA_07,CIA_14,CIA_09,",place,"Panama City,Panama,993 Panamico Ave.,"
15634,document,"NSA_07,CIA_14,",place,"Pakistan,Panama City,Panama,993 Panamico Ave.,"
15635,document,"FBI_25,FBI_12,",place,"USA,Kansas City,"
15636,document,"FBI_09,FBI_33,",place,"USA,Texas,Houston,Bellaire,3236 Pine St.,"
15637,document,"CIA_24,FBI_24,",place,"Cairo,411 Ramses St.,"
15638,document,"FBI_24,FBI_16,",place,"Paris,France,Cairo,Madrid,Spain,"
15639,document,"CIA_23,NSA_09,",place,"Santo Domingo,Dominican Republic,65 Avenue San Martin,"
15640,document,"FBI_11,FBI_35,",place,"USA,New Jersey,2116 27th St.,Laurel,Maryland,"
15641,document,"FBI_07,CIA_02,",place,"USA,Canada,Toronto,"
15642,document,"FBI_23,FBI_05,",place,"USA,Charlotte,North Carolina,"
15643,document,"CIA_07,CIA_06,",place,"Afghanistan,Pakhtia,"
15644,document,"FBI_06,FBI_04,",place,"USA,Texas,2211 Cermak Rd.,Chicago,Illinois,O'Hare Airport,"
15645,document,"CIA_22,CIA_21,",place,"Casablanca,Marocco,"
15646,document,"NSA_10,FBI_07,",place,"USA,Canada,New York,Paris,France,Buffalo,174 Rue Cardinet,"
15647,document,"FBI_26,USCBP_01,",place,"USA,Texas,Carrizo Springs,"
15648,document,"CIA_05,CIA_01,",place,"Moscow,Russia,Strizi,"
15649,document,"FBI_13,FBI_10,",place,"USA,Columbia,231 12th St.,Missouri,"
15650,document,"NSA_09,NSA_16,",place,"Santo Domingo,Dominican Republic,Santa Domingo,"
15651,document,"CIA_13,FBI_03,",place,"USA,California,235 Buckthorn St.,773 Flaxton St.,Culver City,Inglewood,"
15652,document,"CIA_13,DIA_03,",place,"USA,Los Angeles,California,"
15653,document,"NSA_02,CIA_13,",place,"USA,Chicago,Illinois,Amsterdam,Netherlands,"
15654,document,"CIA_40,CIA_39,",place,"Santo Domingo,The Dominican Republic,"
15655,document,"CIA_28,CIA_27,",place,"Caracas,Venezuela,"
15656,document,"NSA_21,NSA_17,",place,"Mexico,Columbia,Bogota,Cuidad Acuna,"
15657,document,"NSA_21,FBI_38,",place,"Mexico,Columbia,Ciudad Acuna,"
15658,document,"NSA_01,CIA_07,",place,"Paris,France,73 Rue Duhesme,"
15659,document,"CIA_15,CIA_11,",place,"Peshawar,88 Sahibzada Gul Rd.,"
15660,document,"FBI_38,NSA_13,",place,"Mexico,Columbia,Ciudad Madero,"
15661,document,"FBI_38,FBI_37,",place,"USA,Cuba,Texas,Houston,Mexico,Columbia,Cartagena,Guane,Victoria,"
15662,document,"FBI_19,FBI_13,",place,"USA,Texas,Mexico,Columbia,Arlington,Presidio,Dallas,Grand Prairie,"
15663,document,"FBI_35,FBI_30,",place,"USA,Virginia,1721 Glade Dr,Reston,"
15664,document,"CIA_14,CIA_31,",place,"Cuba,Middle East,South America,"
15665,document,"FBI_28,USCBP_02,",place,"22 Hoveniersstraat,Antwerp,Belgium,"
15666,document,"FBI_11,FBI_41,",place,"USA,Maryland,Baltimore,"
15667,document,"FBI_15,CIA_07,",place,"USA,America,"
15668,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",money,"$8,000,4,000,$4,000,"
15669,date,"20 November, 2003,1 November, 2003,12 September, 2003,3 November, 2003,July, 2001,10 October, 2003,",money,"4,000,$11,000,"
15670,date,"1999,2001,1991,17 September, 2004,14 September, 2004,",money,"$8,000,$48,000,"
15671,date,"23 October, 2003,1 October, 2003,",money,"$3000,$2,000,"
15672,date,"20 November, 2003,1997,1994,1999,12 March, 2003,May, 2002,2001,3 November, 2003,16 May, 2003,April, 2000,16 June, 2003,",organization,"FBI,Al Qaeda,"
15673,date,"15 December, 2003,5 March, 2004,1997,23 October, 2003,25 October, 2003,15 May, 2004,20 May, 2004,5 March,1969,1999 - 2001,February of 2000,",organization,"FBI,DIA,"
15674,date,"5 March, 2004,1990,",organization,"FBI,NSA,"
15675,date,"2000,1 November, 2003,1998,12 September, 2003,",organization,"NSA,Al Qaeda,"
15676,date,"1999,1996,1993,16 May, 2003,July 18, 1999,28 September, 2003,",organization,"FBI,MI 5,"
15677,date,"12 December, 2002,15 Feb. 2003,10 February, 2004,16 March, 2004,1998,1999,16 May, 2003,",organization,"MI 5,Al Qaeda,"
15678,date,"20 November, 2003,2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,"
15679,date,"20 November, 2003,1 November, 2003,12 September, 2003,2001,3 November, 2003,July, 2001,10 October, 2003,",organization,"Al Qaeda,University of Missouri,"
15680,date,"20 November, 2003,2001,3 November, 2003,",organization,"FBI,Al Qaeda,University of Missouri,"
15681,date,"1 November, 2003,12 September, 2003,1990,",organization,"NSA,University of Missouri,"
15682,date,"23 October, 2003,19 - 24 October, 2003,20 - 24 October,21 - 22 October,21 - 25 October,22 - 24 October,19 - 24 October,22 - 23 October,19 -21 October,20 - 23 October,19 October, 2003,22 October, 2003,21 October, 2003,18 October, 2003,",organization,"Moroccan Sands Hotel,Sahara Atlantic Hotel,"
15683,date,"5 March, 2004,1997,1994,1999,1996,8, March, 2004,April of 2000,January, 2001,5 March,1969,11 October, 2004,20 October, 2004,",organization,"FBI,Detroit Utilities Co.,"
15684,date,"5 March, 2004,1997,5 March,1969,27 October, 2004,",organization,"DIA,Detroit Utilities Co.,"
15685,date,"5 March, 2004,1997,5 March,1969,",organization,"FBI,DIA,Detroit Utilities Co.,"
15686,date,"1986,12 September, 2003,1990,1992,",organization,"NSA,Vector,"
15687,date,"12 September, 2003,1990,1993,",organization,"Vector,University of Missouri,"
15688,date,"20 November, 2003,12 March, 2003,May, 2002,26 December, 2003,2 January, 2004,January of 2001,April of 2002,January, 2003,April, 2000,16 June, 2003,",organization,"FBI,God's Aryan Militia,"
15689,date,"20 November, 2003,12 March, 2003,May, 2002,April, 2000,16 June, 2003,",organization,"FBI,God's Aryan Militia,Al Qaeda,"
15690,date,"20 November, 2003,2 January, 2004,",organization,"FBI,God's Aryan Militia,University of Missouri,"
15691,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,14 November, 2004,12 December, 2004,18 December, 2004,21 September, 2004,7 November, 2004,17 December, 2004,",organization,"FBI,Royal Norwegian Lines,Sea Aire Lines,"
